section,group,name,url,description,tags,stars,last_push,line
Courses,,Projects,https://www.cs.cornell.edu/courses/CS1115/2013fa/projects_and_exams.htm,,,,,559
Courses,,CS 1130,http://www.cs.cornell.edu/courses/CS1130/2014sp/,Transition to OO Programming Cornell University.,,,,560
Courses,,Syllabus,http://www.cs.cornell.edu/courses/CS1130/2014sp/about/overview.php,,,,,562
Courses,,Lectures,http://www.cs.cornell.edu/courses/CS1130/2014sp/web-lectures/index.php,,,,,563
Courses,,Assignments,http://www.cs.cornell.edu/courses/CS1130/2014sp/assignments/index.php,,,,,564
Courses,,CS 1133,http://www.cs.cornell.edu/courses/CS1133/2013fa/,Transition to Python Cornell University.,,,,565
Courses,,Syllabus,http://www.cs.cornell.edu/courses/CS1133/2013fa/about/overview.php,,,,,567
Courses,,Lectures,http://www.cs.cornell.edu/courses/CS1133/2013fa/lectures/index.php,,,,,568
Courses,,Assignments,http://www.cs.cornell.edu/courses/CS1133/2013fa/assignments/index.php,,,,,569
Courses,,CS 1410-2,https://www.eng.utah.edu/~cs1410-20/,And CS2420-20 Computer Science I and II for Hackers University of Utah.,,,,570
Courses,,Professor Matthew Flatt,https://www.cs.utah.edu/~mflatt/,"An intro course in the spirit of SICP designed by  (one of the lead designers of Racket and author of HtDP). Mostly Racket and C, and a bit of Java, with explanations on how high level functional programming concepts relate to the design of OOP programs. Do this one before SICP if SICP is a bit too much...",,,,571
Courses,,Lectures and Assignments 1,https://www.eng.utah.edu/~cs1410-20/schedule.html,,,,,572
Courses,,Lectures and Assignments 2,https://www.eng.utah.edu/~cs2420-20/schedule.html,,,,,573
Courses,,Textbook,https://htdp.org/2003-09-26/Book/curriculum.html,,,,,574
Courses,,Racket Language,https://racket-lang.org/,,,,,575
Courses,,CS 2110,https://www.cs.cornell.edu/courses/CS2110/2014fa/index.html,Object-Oriented Programming and Data Structures Cornell University.,,,,576
Courses,,lectures,https://www.cs.cornell.edu/courses/CS2110/2014fa/lecturenotes.html,"CS 2110 is an intermediate-level programming course and an introduction to computer science. Topics include program design and development, debugging and testing, object-oriented programming, proofs of correctness, complexity analysis, recursion, commonly used data structures, graph algorithms, and abstract data types. Java is the principal programming language. The course syllabus can easily be extracted by looking at the link to .",,,,577
Courses,,Assignments,https://www.cs.cornell.edu/courses/CS2110/2014fa/assignments.html,,,,,580
Courses,,CS 4302,http://courses2.cit.cornell.edu/info4302_2012fa/,Web Information Systems Cornell University.,,,,581
Courses,,Syllabus,http://courses2.cit.cornell.edu/info4302_2012fa/course_information.php,,,,,583
Courses,,Lectures,http://courses2.cit.cornell.edu/info4302_2012fa/lectures.php,,,,,584
Courses,,Assignments,http://courses2.cit.cornell.edu/info4302_2012fa/homeworks.php,,,,,585
Courses,,CSCE 2004,http://www.csce.uark.edu/~sgauch/2004/S14/index.html,Programming Foundations I University of Arkansas (Fayetteville).,,,,586
Courses,,Syllabus,http://www.csce.uark.edu/~sgauch/2004/S14/syllabus.html,,,,,588
Courses,,Notes,http://www.csce.uark.edu/~sgauch/2004/S14/notes/index.html,,,,,589
Courses,,Assignments,http://www.csce.uark.edu/~sgauch/2004/S14/hw/index.html,,,,,590
Courses,,CSCI E-1,https://cse1.net/lectures,Understanding Computers and the Internet Harvard University Extension College.,,,,592
Courses,,Syllabus,https://cse1.net/syllabus,,,,,596
Courses,,Notes / Recaps,https://cse1.net/recaps,,,,,597
Courses,,Assignments,https://cse1.net/psets,,,,,598
Courses,,CS-for-all,https://www.cs.hmc.edu/csforall/,CS for All  Harvey Mudd College.,,,,599
Courses,,Lectures and Other resources,https://www.cs.hmc.edu/twiki/bin/view/ModularCS1,,,,,601
Courses,,6.001,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-001-structure-and-interpretation-of-computer-programs-spring-2005/index.htm,Structure and Interpretation of Computer Programs MIT.,,,,602
Courses,,Lectures,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-001-structure-and-interpretation-of-computer-programs-spring-2005/video-lectures,,,,,604
Courses,,Textbook,https://mitpress.mit.edu/sicp/full-text/book/book.html,"(Epub, pdf).",,,,605
Courses,,IDE,https://www.neilvandyke.org/racket-sicp/,,,,,606
Courses,,6.005,https://web.mit.edu/6.005/www/fa16/,"Software Construction, Fall 2016 MIT.",,,,607
Courses,,DEEPNLP,https://github.com/oxford-cs-deepnlp-2017/,Deep Learning for Natural Language Processing University of Oxford.,,,,616
Courses,,Lectures,https://github.com/oxford-cs-deepnlp-2017/lectures,"★ 15,856 stars, last push 2023-07-02.",,,,618
Courses,,CS20si,https://web.stanford.edu/class/cs20si/index.html,Tensorflow for Deep Learning Research Stanford University.,,,,620
Courses,,Assignments,https://github.com/chiphuyen/tf-stanford-tutorials,Available on Github.,,10372,,622
Courses,,COMS 4771,https://www.cs.columbia.edu/~jebara/4771/index.html,Machine Learning Columbia University.,,,,623
Courses,,Tony Jebara,https://www.cs.columbia.edu/~jebara/resume.html,"Course taught by  introduces topics in Machine Learning for both generative and discriminative estimation. Material will include least squares methods, Gaussian distributions, linear classification, linear regression, maximum likelihood, exponential family distributions, Bayesian networks, Bayesian inference, mixture models, the EM algorithm, graphical models, hidden Markov models, support vector machines, and kernel methods.",,,,624
Courses,,Lectures and Assignments,https://www.cs.columbia.edu/~jebara/4771/handouts.html,,,,,625
Courses,,CS 109,https://cs109.github.io/2015/,Science Harvard University.,Data,,,626
